"","Units","MeterInformation_fk","Permit_Ref","Inspection_Date","Meter_Reading","Fixed_Zeros","Multiplier","NumberOfDials","Prev_insp_date","Prev_meter_read","Volume_Used","Use_Period","PermitList_fk","WR_Number","Latitude","Longitude","BUCode","count_permits","cf","converted_use_rate_AFD"
"1","Acre-Feet","CtETVK0QeCXd","SIqF-zw-2Z3f, ty78gfsIQS5w",2020-11-04,151917,0,0.001,6,2019-12-17,836932,314.985,323,"SIqF-zw-2Z3f","P2334.0W",41.19361,-104.14159,"IRR_GW",2,1,0.975185758513932
"2","Acre-Feet","CtETVK0QeCXd","SIqF-zw-2Z3f, ty78gfsIQS5w",2020-11-04,151917,0,0.001,6,2019-12-17,836932,314.985,323,"ty78gfsIQS5w","P23146.0W",41.19361,-104.14159,"IRR_GW",2,1,0.975185758513932
"3","Acre-Feet","QjzLb7kVBDCg","lI5e0kpts8NS, JBMbV7OQo6nE",2020-10-06,519.782,0,1,NA,2020-02-24,312.632,207.15,225,"JBMbV7OQo6nE","P32301.0W",41.15348,-104.47436,"IRR_GW",2,1,0.920666666666667
"4","Acre-Feet","QjzLb7kVBDCg","lI5e0kpts8NS, JBMbV7OQo6nE",2020-10-06,519.782,0,1,NA,2020-02-24,312.632,207.15,225,"lI5e0kpts8NS","P30869.0W",41.15348,-104.47436,"IRR_GW",2,1,0.920666666666667
"5","Acre-Inches","GYKQfHNcm3Mp","SNWqyGKVGYPv, TANuc3Iei8nO",2020-10-21,954783,0,0.01,6,2020-01-13,569504,3852.79,282,"SNWqyGKVGYPv","P28788.0W",41.1628,-104.54614,"IRR_GW",2,12,1.13853132387707
"6","Acre-Inches","GYKQfHNcm3Mp","SNWqyGKVGYPv, TANuc3Iei8nO",2020-10-21,954783,0,0.01,6,2020-01-13,569504,3852.79,282,"TANuc3Iei8nO","P31940.0W",41.1628,-104.54614,"IRR_GW",2,12,1.13853132387707
"7","Acre-Inches","GYKQfHNcm3Mp","SNWqyGKVGYPv, TANuc3Iei8nO",2021-09-30,317668,0,0.01,6,2020-10-21,954783,3628.85,344,"SNWqyGKVGYPv","P28788.0W",41.1628,-104.54614,"IRR_GW",2,12,0.879081879844961
"8","Acre-Inches","GYKQfHNcm3Mp","SNWqyGKVGYPv, TANuc3Iei8nO",2021-09-30,317668,0,0.01,6,2020-10-21,954783,3628.85,344,"TANuc3Iei8nO","P31940.0W",41.1628,-104.54614,"IRR_GW",2,12,0.879081879844961
"9","Acre-Inches","IC8jnZX2NEgw","Q270T0u4wFdt",2021-11-05,826539,0,0.1,6,2020-10-07,772441,5409.8,394,"Q270T0u4wFdt","P168441.0W",41.03481,-104.395262,"IRR_GW",1,12,1.14420473773266
"10","Acre-Inches","IZkQoFPOHvko","GU14w-INUx20, ZJGslZ47UlRL",2021-10-07,483282,0,0.01,6,2020-10-20,99644,3836.38,352,"GU14w-INUx20","P894.0W",41.14328,-104.10244,"IRR_GW",2,12,0.908233901515151
"11","Acre-Inches","IZkQoFPOHvko","GU14w-INUx20, ZJGslZ47UlRL",2020-10-20,99644,0,0.01,6,2020-01-23,805109,2945.35,271,"ZJGslZ47UlRL","P26.0G",41.14328,-104.10244,"IRR_GW",2,12,0.90570418204182
"12","Acre-Inches","IZkQoFPOHvko","GU14w-INUx20, ZJGslZ47UlRL",2020-10-20,99644,0,0.01,6,2020-01-23,805109,2945.35,271,"GU14w-INUx20","P894.0W",41.14328,-104.10244,"IRR_GW",2,12,0.90570418204182
"13","Acre-Inches","tQn3CJkOAm3W","N_OGshjc52sR",2020-10-01,163988,0,0.01,6,2019-10-28,710786,4532.02,339,"N_OGshjc52sR","P108295.0W",41.40526,-104.232,"IRR_GW",1,12,1.11406588003933
"14","Acre-Inches","Kra_5WKYIoE4","73Y0-hno5zfE, YAysJVEPslqi",2020-10-12,667950,0,0.01,6,2019-11-05,271572,3963.78,342,"YAysJVEPslqi","P186203.0W",41.01819,-104.34,"IRR_GW",2,12,0.965833333333333
"15","Acre-Inches","IZkQoFPOHvko","GU14w-INUx20, ZJGslZ47UlRL",2021-10-07,483282,0,0.01,6,2020-10-20,99644,3836.38,352,"ZJGslZ47UlRL","P26.0G",41.14328,-104.10244,"IRR_GW",2,12,0.908233901515151
"16","Acre-Inches","YylJWVQtWtvN","6IJS7zhycFed, r5tCXChM-H4b",2020-11-04,217452,0,0.01,6,2019-12-17,853856,3635.96,323,"6IJS7zhycFed","P8079.0W",41.21031,-104.11006,"IRR_GW",2,12,0.938070175438596
"17","Acre-Inches","YylJWVQtWtvN","6IJS7zhycFed, r5tCXChM-H4b",2020-11-04,217452,0,0.01,6,2019-12-17,853856,3635.96,323,"r5tCXChM-H4b","P24520.0W",41.21031,-104.11006,"IRR_GW",2,12,0.938070175438596
"18","Acre-Inches","ZAsdcF40sBOj","MAMpaRAb5wal, SPvolHVTwCcp, kcED2BLdk9x9",2020-10-08,653222,0,0.01,6,2019-11-08,230260,4229.62,335,"MAMpaRAb5wal","P24953.0W",41.35258,-104.22933,"IRR_GW",3,12,1.05214427860697
"19","Acre-Inches","ZAsdcF40sBOj","MAMpaRAb5wal, SPvolHVTwCcp, kcED2BLdk9x9",2021-10-15,109208,0,0.01,6,2020-10-08,653222,4559.86,372,"SPvolHVTwCcp","P28787.0W",41.35258,-104.22933,"IRR_GW",3,12,1.02147401433692
"20","Acre-Inches","ZAsdcF40sBOj","MAMpaRAb5wal, SPvolHVTwCcp, kcED2BLdk9x9",2021-10-15,109208,0,0.01,6,2020-10-08,653222,4559.86,372,"kcED2BLdk9x9","P109951.0W",41.35258,-104.22933,"IRR_GW",3,12,1.02147401433692
"21","Acre-Inches","tQn3CJkOAm3W","N_OGshjc52sR",2021-11-03,664317,0,0.01,6,2020-10-01,163988,5003.29,398,"N_OGshjc52sR","P108295.0W",41.40526,-104.232,"IRR_GW",1,12,1.04759003350084
