"","Units","MeterInformation_fk","Permit_Ref","Inspection_Date","Meter_Reading","Fixed_Zeros","Multiplier","NumberOfDials","Prev_insp_date","Prev_meter_read","Volume_Used","Use_Period","PermitList_fk","WR_Number","Latitude","Longitude","BUCode","count_permits","cf","converted_use_rate_AFD"
"1","Acre-Feet","n5o5g8xNcTkj","JqCq3yFYoc-b",2021-11-05,153355,0,0.001,6,2020-10-08,138965,14.39,393,"JqCq3yFYoc-b","P8493.0W",41.0068055,-104.397333,"IRR_GW",1,1,0.0366157760814249
"2","Acre-Feet","hFzruVPsFFO8","8-i0dDeO-MkN, zPuPRvBAk8EA",2020-10-08,76444,0,0.001,6,2019-11-06,46541,29.903,337,"8-i0dDeO-MkN","P28097.0W",41.40037,-104.05824,"IRR_GW",2,1,0.08873293768546
"3","Acre-Feet","GQfHdt1imL0i","CPzfrP6ijun6, Ybb-0cOuSv0A",2020-10-20,501946,0,0.001,6,2020-02-21,470674,31.272,242,"Ybb-0cOuSv0A","P186567.0W",41.34032,-104.27786,"IRR_GW",2,1,0.129223140495868
"4","Acre-Feet","GFEA2pW2gak3","Su8IhzlWHlLl",2021-10-05,571006,0,1e-04,6,2020-10-09,569697,0.1309,361,"Su8IhzlWHlLl","P47360.0W",41.30046,-104.63968,"IRR_GW",1,1,0.000362603878116344
"5","Acre-Feet","snopOxA6x7SQ","MNYaW5lir0Dg, bmTWUVZsbhMt",2020-10-21,758993,0,0.001,6,2020-01-23,644308,114.685,272,"MNYaW5lir0Dg","P193.0G",41.199061,-104.286403,"IRR_GW",2,1,0.421636029411765
"6","Acre-Feet","k6c29_JbfHdC","kNTbP0sC0Vop, 9ipPTpvuTI7K, MmjyeseUzSHu, bDB451cLebii",2021-09-29,8833,0,0.001,7,2020-10-01,8833,0,363,"bDB451cLebii","P199214.0W",41.39852,-104.066,"MIS",4,1,0
"7","Acre-Feet","GQfHdt1imL0i","CPzfrP6ijun6, Ybb-0cOuSv0A",2020-10-20,501946,0,0.001,6,2020-02-21,470674,31.272,242,"CPzfrP6ijun6","P858.0W",41.34032,-104.27786,"IRR_GW",2,1,0.129223140495868
"8","Acre-Feet","E-Xby1GVrXUs","MaHDQLUMjQiQ",2021-10-06,573951,0,0.001,6,2020-10-15,440672,133.279,356,"MaHDQLUMjQiQ","P4604.0W",41.00533,-104.1095,"IRR_GW",1,1,0.374379213483146
"9","Acre-Feet","k6c29_JbfHdC","kNTbP0sC0Vop, 9ipPTpvuTI7K, MmjyeseUzSHu, bDB451cLebii",2021-09-29,8833,0,0.001,7,2020-10-01,8833,0,363,"MmjyeseUzSHu","P195060.0W",41.39837,-104.066,"MIS",4,1,0
"10","Acre-Feet","k6c29_JbfHdC","kNTbP0sC0Vop, 9ipPTpvuTI7K, MmjyeseUzSHu, bDB451cLebii",2020-10-01,8833,0,0.001,7,2019-11-06,8833,0,330,"kNTbP0sC0Vop","P6845.0W",41.3933,-104.0679,"IRR_GW",4,1,0
"11","Acre-Feet","sAmp1zFNrhVI","jPvkqank3UvP, pg2dWXthEFmH",2021-10-15,151373,0,0.001,6,2020-10-22,103858,47.515,358,"jPvkqank3UvP","P7103.0W",41.375589,-104.147611,"IRR_GW",2,1,0.132723463687151
"12","Acre-Feet","OQSPP59qq4Vl","Pq76NGuGy6Iz",2020-11-04,330272,0,0.001,6,2019-12-11,207196,123.076,329,"Pq76NGuGy6Iz","P5.0C",41.21079,-104.1195,"IRR_GW",1,1,0.374091185410334
"13","Acre-Feet","qEkxNEdi6P38","2YxXwJYcYx8P, LjZKRQyTsEwE",2020-10-20,935637,0,0.001,6,2019-12-04,828053,107.584,321,"2YxXwJYcYx8P","P30.0C",41.166428,-104.084664,"IRR_GW",2,1,0.335152647975078
"14","Acre-Feet","E-Xby1GVrXUs","MaHDQLUMjQiQ",2020-10-15,440672,0,0.001,6,2019-11-20,305148,135.524,330,"MaHDQLUMjQiQ","P4604.0W",41.00533,-104.1095,"IRR_GW",1,1,0.410678787878788
"15","Acre-Feet","sAmp1zFNrhVI","jPvkqank3UvP, pg2dWXthEFmH",2021-10-15,151373,0,0.001,6,2020-10-22,103858,47.515,358,"pg2dWXthEFmH","P83779.0W",41.375589,-104.147611,"IRR_GW",2,1,0.132723463687151
"16","Acre-Feet","4CLX5JzdHuls","1RpZMHvrSNRY",2020-10-01,362649,0,0.001,6,2020-01-15,268564,94.085,260,"1RpZMHvrSNRY","P7479.0W",41.396833,-104.080747,"IRR_GW",1,1,0.361865384615385
"17","Acre-Feet","oIXB2zdkkyRh","zJehpkXzs4J8",2021-11-05,552247,0,0.001,6,2020-10-07,431704,120.543,394,"zJehpkXzs4J8","P12111.0W",41.027172,-104.404236,"STK",1,1,0.305946700507614
"18","Acre-Feet","GFEA2pW2gak3","Su8IhzlWHlLl",2021-10-05,571006,0,1e-04,6,2020-10-09,569697,0.1309,361,"Su8IhzlWHlLl","P47360.0W",41.30046,-104.63968,"STK",1,1,0.000362603878116344
"19","Acre-Feet","TwPrlZzgiqHr","X0pkIcwMYwav",2020-10-13,528781,0,0.001,6,2019-12-19,402461,126.32,299,"X0pkIcwMYwav","P1458.0W",41.16115,-104.34912,"IRR_GW",1,1,0.42247491638796
"20","Acre-Feet","epPPybHeODSi","g1pFyNAZkHZX",2020-10-08,336483,0,0.001,6,2019-11-01,265455,71.028,342,"g1pFyNAZkHZX","P8498.0W",41.01264,-104.41526,"IRR_GW",1,1,0.207684210526316
"21","Acre-Feet","Y2zVHJ0slUoY","GKYG_fmwsJRc",2021-10-18,777417,0,0.001,6,2020-11-04,646925,130.492,348,"GKYG_fmwsJRc","P8070.0W",41.21259,-104.35395,"IRR_GW",1,1,0.374977011494253
"22","Acre-Feet","n5o5g8xNcTkj","JqCq3yFYoc-b",2020-10-08,138965,0,0.001,6,2019-11-01,138965,0,342,"JqCq3yFYoc-b","P8493.0W",41.0068055,-104.397333,"IRR_GW",1,1,0
"23","Acre-Feet","snopOxA6x7SQ","MNYaW5lir0Dg, bmTWUVZsbhMt",2020-10-21,758993,0,0.001,6,2020-01-23,644308,114.685,272,"bmTWUVZsbhMt","P79313.0W",41.199061,-104.286403,"IRR_GW",2,1,0.421636029411765
"24","Acre-Feet","s-MXkjMbNQwQ","-ZqzAItigvV6, PJlxzt63r5x9",2020-10-22,281169,0,0.001,6,2019-10-31,182624,98.545,357,"PJlxzt63r5x9","P83778.0W",41.377947,-104.15215,"IRR_GW",2,1,0.276036414565826
"25","Acre-Feet","CtETVK0QeCXd","SIqF-zw-2Z3f, ty78gfsIQS5w",2020-11-04,151917,0,0.001,6,2019-12-17,836932,314.985,323,"ty78gfsIQS5w","P23146.0W",41.19361,-104.14159,"IRR_GW",2,1,0.975185758513932
"26","Acre-Feet","oIXB2zdkkyRh","zJehpkXzs4J8",2020-10-07,431704,0,0.001,6,2019-11-01,288348,143.356,341,"zJehpkXzs4J8","P12111.0W",41.027172,-104.404236,"STK",1,1,0.420398826979472
"27","Acre-Feet","OPcjEuXLzINZ","xD5TtryyNCdm, kpCH1fJe73WC, fUyVUVK252LL",2020-10-12,191688,0,1e-04,6,2020-01-27,569530,62.2158,259,"fUyVUVK252LL","P102856.0W",41.03845,-104.31297,"IRR_GW",3,1,0.240215444015444
"28","Acre-Feet","b1-rtdg0K9Ej","MVqAj-yMlNUc",2020-11-17,95499,0,0.001,6,2019-12-11,65620,29.879,342,"MVqAj-yMlNUc","P6.0C",41.21238,-104.11544,"IRR_GW",1,1,0.0873654970760234
"29","Acre-Feet","y9eysWFcI44J","-Lo0IpekSEiY, 2YYMJAlBfLDx",2020-10-01,261515,0,0.001,6,2019-11-05,195260,66.255,331,"-Lo0IpekSEiY","P6952.0W",41.39853,-104.09,"IRR_GW",2,1,0.200166163141994
"30","Acre-Feet","d599esOZrC3-","DHwV7UGFR0Hi",2020-10-07,75860,0,0.001,6,2019-11-01,75853,0.007,341,"DHwV7UGFR0Hi","P2848.0W",41.02775,-104.39445,"IRR_GW",1,1,2.05278592375367e-05
"31","Acre-Feet","WCNnsyCU1OUR","b8pCQ57l6XEW",2020-10-13,235682,0,0.001,6,2019-12-19,179680,56.002,299,"b8pCQ57l6XEW","P81.0G",41.1603,-104.34401,"IRR_GW",1,1,0.187297658862876
"32","Acre-Feet","k6c29_JbfHdC","kNTbP0sC0Vop, 9ipPTpvuTI7K, MmjyeseUzSHu, bDB451cLebii",2020-10-01,8833,0,0.001,7,2019-11-06,8833,0,330,"9ipPTpvuTI7K","P68582.0W",41.39485,-104.066,"IRR_GW",4,1,0
"33","Acre-Feet","CtETVK0QeCXd","SIqF-zw-2Z3f, ty78gfsIQS5w",2021-12-29,490700,0,0.001,6,2020-11-04,151917,338.783,420,"ty78gfsIQS5w","P23146.0W",41.19361,-104.14159,"IRR_GW",2,1,0.806626190476191
"34","Acre-Feet","CtETVK0QeCXd","SIqF-zw-2Z3f, ty78gfsIQS5w",2020-11-04,151917,0,0.001,6,2019-12-17,836932,314.985,323,"SIqF-zw-2Z3f","P2334.0W",41.19361,-104.14159,"IRR_GW",2,1,0.975185758513932
"35","Acre-Feet","oIXB2zdkkyRh","zJehpkXzs4J8",2020-10-07,431704,0,0.001,6,2019-11-01,288348,143.356,341,"zJehpkXzs4J8","P12111.0W",41.027172,-104.404236,"IRR_GW",1,1,0.420398826979472
"36","Acre-Feet","hFzruVPsFFO8","8-i0dDeO-MkN, zPuPRvBAk8EA",2020-10-08,76444,0,0.001,6,2019-11-06,46541,29.903,337,"zPuPRvBAk8EA","P29137.0W",41.40202,-104.056,"IRR_GW",2,1,0.08873293768546
"37","Acre-Feet","k6c29_JbfHdC","kNTbP0sC0Vop, 9ipPTpvuTI7K, MmjyeseUzSHu, bDB451cLebii",2021-09-29,8833,0,0.001,7,2020-10-01,8833,0,363,"9ipPTpvuTI7K","P68582.0W",41.39485,-104.066,"IRR_GW",4,1,0
"38","Acre-Feet","oIXB2zdkkyRh","zJehpkXzs4J8",2021-11-05,552247,0,0.001,6,2020-10-07,431704,120.543,394,"zJehpkXzs4J8","P12111.0W",41.027172,-104.404236,"IRR_GW",1,1,0.305946700507614
"39","Acre-Feet","ROmwMdhFjISU","rdpr8rayP5YZ",2021-10-07,564465,0,1e-04,6,2020-10-20,524909,3.9556,352,"rdpr8rayP5YZ","P24531.0W",41.3633,-104.06156,"IRR_GW",1,1,0.0112375
"40","Acre-Feet","4CLX5JzdHuls","1RpZMHvrSNRY",2021-09-29,496844,0,0.001,6,2020-10-01,362649,134.195,363,"1RpZMHvrSNRY","P7479.0W",41.396833,-104.080747,"STK",1,1,0.369683195592286
"41","Acre-Feet","IanaL5asErqf","K5pw1_LRZd15",2021-11-04,351036,0,0.001,6,2020-11-04,281252,69.784,365,"K5pw1_LRZd15","P1323.0W",41.25445,-104.12451,"IRR_GW",1,1,0.19118904109589
"42","Acre-Feet","y9eysWFcI44J","-Lo0IpekSEiY, 2YYMJAlBfLDx",2021-09-29,432107,0,0.001,6,2020-10-01,261515,170.592,363,"2YYMJAlBfLDx","P41217.0W",41.39853,-104.09,"IRR_GW",2,1,0.469950413223141
"43","Acre-Feet","IanaL5asErqf","K5pw1_LRZd15",2020-11-04,281252,0,0.001,6,2020-02-21,198850,82.402,257,"K5pw1_LRZd15","P1323.0W",41.25445,-104.12451,"IRR_GW",1,1,0.320630350194553
"44","Acre-Feet","sAmp1zFNrhVI","jPvkqank3UvP, pg2dWXthEFmH",2020-10-22,103858,0,0.001,6,2019-10-31,69832,34.026,357,"jPvkqank3UvP","P7103.0W",41.375589,-104.147611,"IRR_GW",2,1,0.0953109243697479
"45","Acre-Feet","DH7PEZuy7QYB","K-TZFowmYJgp, gk_SnMSOpmIu",2020-10-20,144506,0,0.001,6,2019-12-04,877068,267.438,321,"gk_SnMSOpmIu","P30321.0W",41.164127,-104.086594,"IRR_GW",2,1,0.833140186915888
"46","Acre-Feet","OPcjEuXLzINZ","xD5TtryyNCdm, kpCH1fJe73WC, fUyVUVK252LL",2020-10-12,191688,0,1e-04,6,2020-01-27,569530,62.2158,259,"kpCH1fJe73WC","P45274.0W",41.03845,-104.31297,"IRR_GW",3,1,0.240215444015444
"47","Acre-Feet","k6c29_JbfHdC","kNTbP0sC0Vop, 9ipPTpvuTI7K, MmjyeseUzSHu, bDB451cLebii",2021-09-29,8833,0,0.001,7,2020-10-01,8833,0,363,"kNTbP0sC0Vop","P6845.0W",41.3933,-104.0679,"IRR_GW",4,1,0
"48","Acre-Feet","Y2zVHJ0slUoY","GKYG_fmwsJRc",2020-11-04,646925,0,0.001,6,2019-12-19,501286,145.639,321,"GKYG_fmwsJRc","P8070.0W",41.21259,-104.35395,"IRR_GW",1,1,0.453704049844237
"49","Acre-Feet","TwPrlZzgiqHr","X0pkIcwMYwav",2020-10-13,528781,0,0.001,6,2019-12-19,402461,126.32,299,"X0pkIcwMYwav","P1458.0W",41.16115,-104.34912,"STK",1,1,0.42247491638796
"50","Acre-Feet","d599esOZrC3-","DHwV7UGFR0Hi",2021-11-05,100619,0,0.001,6,2020-10-07,75860,24.759,394,"DHwV7UGFR0Hi","P2848.0W",41.02775,-104.39445,"IRR_GW",1,1,0.0628401015228426
"51","Acre-Feet","QjzLb7kVBDCg","lI5e0kpts8NS, JBMbV7OQo6nE",2021-09-30,686.546,0,1,NA,2020-10-06,519.782,166.764,359,"JBMbV7OQo6nE","P32301.0W",41.15348,-104.47436,"IRR_GW",2,1,0.464523676880223
"52","Acre-Feet","THE2tsfZhomy","BGkpd5h-YDM8",2020-10-15,542423,0,0.001,6,2020-01-23,392848,149.575,266,"BGkpd5h-YDM8","P4609.0W",41.00531,-104.11905,"IRR_GW",1,1,0.562312030075188
"53","Acre-Feet","THE2tsfZhomy","BGkpd5h-YDM8",2021-10-06,647636,0,0.001,6,2020-10-15,542423,105.213,356,"BGkpd5h-YDM8","P4609.0W",41.00531,-104.11905,"IRR_GW",1,1,0.295542134831461
"54","Acre-Feet","s-MXkjMbNQwQ","-ZqzAItigvV6, PJlxzt63r5x9",2021-10-15,403828,0,0.001,6,2020-10-22,281169,122.659,358,"PJlxzt63r5x9","P83778.0W",41.377947,-104.15215,"IRR_GW",2,1,0.342622905027933
"55","Acre-Feet","XXfaUa-i7Dkw","wASNhEoW2oCq",2021-12-29,55048,0,0.001,6,2020-10-20,54421,0.627,435,"wASNhEoW2oCq","P192020.0W",41.34005,-104.27247,"IRR_GW",1,1,0.00144137931034483
"56","Acre-Feet","0n3Jz30ZtQm9","PXxeld9vBgCP",2021-11-15,639872,0,0.001,6,2020-10-29,470179,169.693,382,"PXxeld9vBgCP","P1318.0W",41.18214,-104.26027,"IRR_GW",1,1,0.444222513089005
"57","Acre-Feet","OPcjEuXLzINZ","xD5TtryyNCdm, kpCH1fJe73WC, fUyVUVK252LL",2020-10-12,191688,0,1e-04,6,2020-01-27,569530,62.2158,259,"xD5TtryyNCdm","P176.0C",41.03845,-104.31297,"IRR_GW",3,1,0.240215444015444
